code,name,college
BET-CHET,Bachelor of Engineering Technology Major in Chemical Engineering Technology,COE
BET-ELET,Bachelor of Engineering Technology Major in Electrical Engineering Technology,COE
BSME,Bachelor of Science in Mechanical Engineering,COE
BSEM,Bachelor of Science in Mining Engineering,COE
BET-MET,Bachelor of Engineering Technology Major in Mechanical Engineering Technology,COE
BSEE,Bachelor of Science in Electrical Engineering,COE
BET-ESET,Bachelor of Engineering Technology Major in Electronics Engineering Technology,COE
BSCE,Bachelor of Science in Civil Engineering,COE
BSCERE,Bachelor of Science in Ceramic Engineering,COE
BSCHE,Bachelor of Science in Chemical Engineering,COE
BSEsE,Bachelor of Science in Electronics Engineering,COE
BSEnE,Bachelor of Science in Environmental Engineering,COE
BET-MMT,Bachelor of Engineering Technology Major in Metallurgical and Materials Engineering Technology,COE
BSCPE,Bachelor of Science in Computer Engineering,COE
BSIAM,Bachelor of Science in Industrial Automation and Mechatronics,COE
BET-CET,Bachelor of Engineering Technology Major in Civil Engineering Technology,COE
BS-MB,Bachelor of Science in Marine Biology,CSM
BSBio-AB,Bachelor of Science in Biology Major in Animal Biology,CSM
BSStat,Bachelor of Science in Statistics,CSM
BSBio-PB,Bachelor of Science in Biology Major in Plant Biology,CSM
BSChem,Bachelor of Science in Chemistry,CSM
BSBio-Micro,Bachelor of Science in Biology Major in Microbiology,CSM
BSMath,Bachelor of Science in Mathematics,CSM
BSBio-Bdv,Bachelor of Science in Biology Major in Biodiversity,CSM
BSPhys,Bachelor of Science in Physics,CSM
BTLEd-IA,Bachelor of Technology and Livelihood Education Major in Industrial Arts,CED
BEEd-SM,Bachelor of Elementary Education Major in Science and Mathematics,CED
BSEd-Phys,Bachelor of Secondary Education Major in Physics,CED
BSEd-Math,Bachelor of Secondary Education Major in Mathematics,CED
BSEd-Chem,Bachelor of Secondary Education Major in Chemistry,CED
BTLEd-HE,Bachelor of Technology and Livelihood Education Major in Home Economics,CED
BEEd-LE,Bachelor of Elementary Education Major in Language Education,CED
BPEd,Bachelor of Physical Education,CED
BSEd-Fil,Bachelor of Secondary Education Major in Filipino,CED
BSEd-Bio,Bachelor of Secondary Education Major in Biology,CED
BTVTEd-DT,Bachelor of Technical-Vocational Teacher Education Major in Drafting Technology,CED
BAELS,Bachelor of Arts in English Language Studies,CASS
BAPos,Bachelor of Arts in Political Science,CASS
BSPsych,Bachelor of Science in Psychology,CASS
BAPsych,Bachelor of Arts in Psychology,CASS
BASoc,Bachelor of Arts in Sociology,CASS
BSPhil,Bachelor of Science in Philosophy Applied Ethics,CASS
BAPan,Batsilyer ng Sining sa Panitikan,CASS
BAHis,Bachelor of Arts in History,CASS
BALCS,Bachelor of Arts in Literary and Cultural Studies,CASS
BAFil,Batsilyer ng Sining sa Filipino,CASS
BSN,Bachelor of Science in Nursing,CHS
BSA,Bachelor of Science in Accountancy,CEBA
BSBA-BE,Bachelor of Science in Business Administration Major in Business Economics,CEBA
BSBA-MM,Bachelor of Science in Business Administration Major in Marketing Management,CEBA
BSHM,Bachelor of Science in Hospitality Management,CEBA
BSEcon,Bachelor of Science in Economics,CEBA
BSEntrep,Bachelor of Science in Entrepreneurship,CEBA
BSCS,Bachelor of Science in Computer Science,CCS
BSIT,Bachelor of Science in Information Technology,CCS
BSIS,Bachelor of Science in Information System,CCS
BSCA,Bachelor of Science in Computer Application,CCS
BSMETE,Bachelor of Science in Metallurgical Engineering,COE
